3244,Anne Marie,12,1
3271,Emmanuelle Vaugier,43,1
3281,Sofia Carson,20,1
3282,Doja Cat,12,1
3292,Kim Petras,79,1
3294,Jenna Ortega,118,2
3303,Madelyn Cline,113,2
3304,Ana de Armas,210,2
3312,Nessa Barrett,17,1
3391,Simge SaДџД±n,8,1
3392,Beren Saat,47,1
3394,Charlotte McKinney,8,1
3395,Saweetie,4,1
3397,Larsen Thompson,61,1
3398,Rosalia,108,2
3399,Megan Thee Stallion,53,1
3400,Demet AkalД±n,100,1
3401,Hande ErГ§el,187,2
3406,GГјlЕџen,45,1
3415,Maddie Ziegler,13,1
3417,Samara Weaving,27,1
3424,Sofia Richie,13,1
3429,Tate McRae,24,1
